GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
evaluation,tn.esprit.evaluation.config,GlobalExceptionHandler,75,3,8,0,15,1,9,1,5,1
evaluation,tn.esprit.evaluation.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
evaluation,tn.esprit.evaluation.exception,ResourceNotFoundException,10,0,0,0,4,0,2,0,2,0
evaluation,tn.esprit.evaluation.controller,CertificatController,452,5,48,0,91,1,36,1,12,1
evaluation,tn.esprit.evaluation.controller,ExamenController,71,0,0,0,12,0,11,0,11,0
evaluation,tn.esprit.evaluation.entity,Certificat,8,0,0,0,1,0,1,0,1,0
evaluation,tn.esprit.evaluation.entity,PassageExamen.ResultatExamen,0,15,0,0,0,3,0,1,0,1
evaluation,tn.esprit.evaluation.client,FormationClient,31,4,2,0,6,1,2,1,1,1
evaluation,tn.esprit.evaluation.client,FormationClient.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
evaluation,tn.esprit.evaluation.service,CertificatService,112,0,8,0,26,0,12,0,8,0
evaluation,tn.esprit.evaluation.service,ExamenService,287,0,32,0,55,0,28,0,12,0
evaluation,tn.esprit.evaluation.service,CertificatPdfService,660,5,44,0,118,1,30,1,8,1
evaluation,tn.esprit.evaluation.service,PassageExamenService,116,459,29,49,15,92,34,16,5,6
evaluation,tn.esprit.evaluation.dto,ReponseExamenRequest.ModePassage,0,15,0,0,0,3,0,1,0,1
evaluation,tn.esprit.evaluation.dto,QuestionDto,40,0,2,0,12,0,3,0,2,0
evaluation,tn.esprit.evaluation.dto,PassageExamenDto,0,26,0,0,0,9,0,1,0,1
evaluation,tn.esprit.evaluation.dto,CertificatDto,67,0,12,0,16,0,7,0,1,0
evaluation,tn.esprit.evaluation.dto,ExamenDto,46,0,4,0,11,0,4,0,2,0
evaluation,tn.esprit.evaluation,EvaluationApplication,5,3,0,0,2,1,1,1,1,1
